Date,Region,Daily_Cases,Daily_Deaths,Daily_Recoveries,Vaccination_Rate,Active_Cases,Month,Month_Name,Week
2023-01-01,North,39,0,37,10.0,5,1,January,52
2023-01-02,North,14,0,0,10.59921990762441,2,1,January,1
2023-01-03,North,51,0,50,10.0,7,1,January,1
2023-01-04,North,92,0,48,15.199770241644277,13,1,January,1
2023-01-05,North,19,0,34,12.556618203665789,2,1,January,1
2023-01-06,North,24,0,28,16.02027032951804,3,1,January,1
2023-01-07,North,106,2,94,10.0,15,1,January,1
2023-01-08,North,75,6,80,21.88418121621133,11,1,January,1
2023-01-09,North,26,4,50,10.950403507575778,4,1,January,2
2023-01-10,North,76,9,82,17.395309688083188,11,1,January,2
2023-01-11,North,38,0,0,10.0,5,1,January,2
2023-01-12,North,44,3,14,15.330353041796364,6,1,January,2
2023-01-13,North,81,0,57,10.0,12,1,January,2
2023-01-14,North,8,9,7,10.0,1,1,January,2
2023-01-15,North,10,0,17,22.454772153949314,1,1,January,2
2023-01-16,North,69,0,45,12.137247336842606,10,1,January,3
2023-01-17,North,57,0,51,14.38386766260191,8,1,January,3
2023-01-18,North,123,0,91,17.853085906191023,18,1,January,3
2023-01-19,North,80,0,57,16.187200648654233,12,1,January,3
2023-01-20,North,68,0,33,14.666929690553047,10,1,January,3
2023-01-21,North,203,2,156,15.945684133210248,30,1,January,3
2023-01-22,North,140,2,95,26.34400100311445,21,1,January,3
2023-01-23,North,165,9,122,14.244873047799105,24,1,January,4
2023-01-24,North,111,5,112,15.744506222585827,16,1,January,4
2023-01-25,North,161,0,120,20.198326925093006,24,1,January,4
2023-01-26,North,202,0,216,20.67872856588882,30,1,January,4
2023-01-27,North,159,3,144,21.29229438494476,23,1,January,4
2023-01-28,North,238,0,205,18.756837923332736,35,1,January,4
2023-01-29,North,209,9,163,10.054206205578353,31,1,January,4
2023-01-30,North,235,6,212,24.142432386780207,35,1,January,5
2023-01-31,North,235,0,190,10.449591716225239,35,1,January,5
2023-02-01,North,355,0,303,17.9005399635578,53,2,February,5
2023-02-02,North,286,8,287,12.822027343309802,43,2,February,5
2023-02-03,North,254,1,214,16.478758816485584,38,2,February,5
2023-02-04,North,349,8,316,18.649306557011904,52,2,February,5
2023-02-05,North,273,0,219,18.818324538789824,40,2,February,5
2023-02-06,North,346,0,293,19.52718618875884,51,2,February,6
2023-02-07,North,264,2,254,25.692182718919607,39,2,February,6
2023-02-08,North,303,2,246,20.09734183724023,45,2,February,6
2023-02-09,North,379,1,353,16.814931109261043,56,2,February,6
2023-02-10,North,413,6,362,23.062194083200026,61,2,February,6
2023-02-11,North,397,0,327,24.3951546424254,59,2,February,6
2023-02-12,North,393,2,344,12.515807078161192,58,2,February,6
2023-02-13,North,393,4,350,21.8468904591394,58,2,February,7
2023-02-14,North,349,5,306,22.571797777488555,52,2,February,7
2023-02-15,North,387,6,301,17.78416050517806,58,2,February,7
2023-02-16,North,403,0,330,26.356556044580074,60,2,February,7
2023-02-17,North,472,0,396,18.933787998903302,70,2,February,7
2023-02-18,North,444,9,375,20.517992157467603,66,2,February,7
2023-02-19,North,355,4,311,19.230794724734498,53,2,February,7
2023-02-20,North,445,0,381,20.38009304010514,66,2,February,8
2023-02-21,North,414,10,329,15.02686632376575,62,2,February,8
2023-02-22,North,400,4,346,13.514031301314244,60,2,February,8
2023-02-23,North,453,9,395,28.89285498645453,68,2,February,8
2023-02-24,North,467,4,406,16.891566884781987,70,2,February,8
2023-02-25,North,458,12,407,16.375455835136048,68,2,February,8
2023-02-26,North,376,11,334,10.771510970442966,56,2,February,8
2023-02-27,North,392,2,341,18.549696756057983,58,2,February,9
2023-02-28,North,413,7,349,15.335100483511962,61,2,February,9
2023-03-01,North,432,6,337,30.36666920727525,64,3,March,9
2023-03-02,North,360,9,313,27.411722809350533,54,3,March,9
2023-03-03,North,362,0,311,19.127929592792697,54,3,March,9
2023-03-04,North,312,6,270,34.03690430144682,46,3,March,9
2023-03-05,North,298,6,230,27.8895966657272,44,3,March,9
2023-03-06,North,373,0,298,21.562656269270075,55,3,March,10
2023-03-07,North,384,0,344,10.895828568489277,57,3,March,10
2023-03-08,North,311,0,263,35.05361396185481,46,3,March,10
2023-03-09,North,344,1,304,16.857082721127075,51,3,March,10
2023-03-10,North,304,6,258,15.783995276204552,45,3,March,10
2023-03-11,North,247,8,210,29.32988512708117,37,3,March,10
2023-03-12,North,278,2,252,36.62183895477328,41,3,March,10
2023-03-13,North,316,9,259,31.550484971673466,47,3,March,11
2023-03-14,North,235,0,201,27.65471043542663,35,3,March,11
2023-03-15,North,292,0,240,28.01498049953522,43,3,March,11
2023-03-16,North,98,0,76,29.514330541154283,14,3,March,11
2023-03-17,North,235,3,194,29.247939652230528,35,3,March,11
2023-03-18,North,191,1,166,27.065297779187535,28,3,March,11
2023-03-19,North,163,0,130,26.386390135143994,24,3,March,11
2023-03-20,North,169,0,165,25.758462931930957,25,3,March,12
2023-03-21,North,69,0,43,22.507649583139145,10,3,March,12
2023-03-22,North,135,3,111,25.08014109918261,20,3,March,12
2023-03-23,North,151,2,120,18.224776368583512,22,3,March,12
2023-03-24,North,190,0,185,26.403906261630645,28,3,March,12
2023-03-25,North,95,0,84,22.158692815893765,14,3,March,12
2023-03-26,North,75,0,81,21.78974572161345,11,3,March,12
2023-03-27,North,81,0,43,28.413207019503655,12,3,March,13
2023-03-28,North,136,5,120,34.679791651503216,20,3,March,13
2023-03-29,North,104,0,103,32.51740720583574,15,3,March,13
2023-03-30,North,62,2,53,20.279365113752245,9,3,March,13
2023-03-31,North,102,0,105,23.3897714050604,15,3,March,13
2023-04-01,North,81,0,59,33.24781198389712,12,4,April,13
2023-04-02,North,115,0,122,23.837563032308452,17,4,April,13
2023-04-03,North,40,0,73,27.832878206058833,6,4,April,14
2023-04-04,North,55,0,40,31.912348407210672,8,4,April,14
2023-04-05,North,50,0,35,24.526409593813693,7,4,April,14
2023-04-06,North,8,7,31,30.101053354905623,1,4,April,14
2023-04-07,North,80,0,95,23.110092305628758,12,4,April,14
2023-04-08,North,79,0,57,26.979425516507664,11,4,April,14
2023-04-09,North,69,0,51,31.791217363020376,10,4,April,14
2023-04-10,North,62,0,47,22.4333829806933,9,4,April,15
2023-04-11,North,13,0,0,32.80676929419759,2,4,April,15
2023-04-12,North,60,2,35,30.71225056580615,9,4,April,15
2023-04-13,North,68,3,40,33.778933288569256,10,4,April,15
2023-04-14,North,53,0,31,32.34209814285078,8,4,April,15
2023-04-15,North,87,0,73,38.24927357844065,13,4,April,15
2023-04-16,North,118,0,104,32.260737897854916,17,4,April,15
2023-04-17,North,189,0,187,29.693631635033075,28,4,April,16
2023-04-18,North,123,0,87,32.65819081186472,18,4,April,16
2023-04-19,North,135,6,132,34.96923739792919,20,4,April,16
2023-04-20,North,130,7,107,32.703091560419736,19,4,April,16
2023-04-21,North,61,0,50,32.86779362085458,9,4,April,16
2023-04-22,North,153,3,141,29.360920681845347,23,4,April,16
2023-04-23,North,168,2,123,29.76241848916834,25,4,April,16
2023-04-24,North,285,15,248,26.26994067396857,42,4,April,17
2023-04-25,North,183,6,158,42.23689470494569,27,4,April,17
2023-04-26,North,217,0,193,27.475738768098523,32,4,April,17
2023-04-27,North,217,0,189,30.436572912119367,32,4,April,17
2023-04-28,North,183,0,197,30.515106529296872,27,4,April,17
2023-04-29,North,298,3,242,38.787808697909014,44,4,April,17
2023-04-30,North,297,0,242,33.04448237777063,44,4,April,17
2023-05-01,North,315,0,256,40.96398508864339,47,5,May,18
2023-05-02,North,259,0,209,31.563865560099337,38,5,May,18
2023-05-03,North,376,0,308,36.532333448481644,56,5,May,18
2023-05-04,North,273,9,252,31.166671327107807,40,5,May,18
2023-05-05,North,376,6,344,46.27519618831749,56,5,May,18
2023-05-06,North,464,4,384,29.81750241034694,69,5,May,18
2023-05-07,North,345,9,279,37.5106420126736,51,5,May,18
2023-05-08,North,382,3,332,39.33646682224291,57,5,May,19
2023-05-09,North,430,0,355,38.44262186088386,64,5,May,19
2023-05-10,North,422,10,369,35.65323203528179,63,5,May,19
2023-05-11,North,395,6,339,36.136610787047154,59,5,May,19
2023-05-12,North,484,0,385,37.21081560165379,72,5,May,19
2023-05-13,North,453,3,412,36.46279218965975,68,5,May,19
2023-05-14,North,537,0,487,42.2232417378207,80,5,May,19
2023-05-15,North,495,0,409,48.66250511784686,74,5,May,20
2023-05-16,North,618,9,518,35.0284751408949,92,5,May,20
2023-05-17,North,533,12,458,31.172963124082635,80,5,May,20
2023-05-18,North,569,0,489,37.786611736265705,85,5,May,20
2023-05-19,North,633,8,549,51.33261262233753,94,5,May,20
2023-05-20,North,559,2,509,34.62173705026123,83,5,May,20
2023-05-21,North,635,3,536,47.041737873374174,95,5,May,20
2023-05-22,North,693,4,575,47.44070187258,104,5,May,21
2023-05-23,North,578,1,467,36.49030054970178,86,5,May,21
2023-05-24,North,665,6,552,42.309201110212086,99,5,May,21
2023-05-25,North,677,2,574,47.81231278597235,101,5,May,21
2023-05-26,North,707,7,632,37.98073492143619,106,5,May,21
2023-05-27,North,626,5,522,39.06451578190577,93,5,May,21
2023-05-28,North,627,5,536,37.380056968718314,94,5,May,21
2023-05-29,North,710,2,603,35.42072184104116,106,5,May,22
2023-05-30,North,703,4,617,37.45416172521941,105,5,May,22
2023-05-31,North,701,9,639,34.786892072782116,105,5,May,22
2023-06-01,North,705,8,589,41.28305470393349,105,6,June,22
2023-06-02,North,658,1,550,37.46881516338811,98,6,June,22
2023-06-03,North,694,6,608,42.693654833679005,104,6,June,22
2023-06-04,North,692,9,599,33.95129099975109,103,6,June,22
2023-06-05,North,642,0,578,43.59121434788547,96,6,June,23
2023-06-06,North,747,9,644,46.31050195090176,112,6,June,23
2023-06-07,North,678,3,570,32.38022288604382,101,6,June,23
2023-06-08,North,596,7,516,44.42522790418291,89,6,June,23
2023-06-09,North,665,2,584,48.89933397335547,99,6,June,23
2023-06-10,North,583,0,509,36.91882787357694,87,6,June,23
2023-06-11,North,646,0,557,51.535938857265435,96,6,June,23
2023-06-12,North,648,6,568,45.4742159259511,97,6,June,24
2023-06-13,North,547,6,485,40.06010555637279,82,6,June,24
2023-06-14,North,609,1,540,43.51236340292026,91,6,June,24
2023-06-15,North,569,7,495,46.78888730986136,85,6,June,24
2023-06-16,North,570,0,481,44.58332366035876,85,6,June,24
2023-06-17,North,599,5,511,47.1031206215725,89,6,June,24
2023-06-18,North,489,0,436,40.012016649987785,73,6,June,24
2023-06-19,North,448,0,366,45.66823269160896,67,6,June,25
2023-06-20,North,424,4,366,37.958900042947626,63,6,June,25
2023-06-21,North,408,0,340,44.67738617677298,61,6,June,25
2023-06-22,North,422,1,359,40.92002223223649,63,6,June,25
2023-06-23,North,421,7,380,41.96795468265556,63,6,June,25
2023-06-24,North,400,0,343,52.03211422770054,60,6,June,25
2023-06-25,North,405,6,344,51.514242910663654,60,6,June,25
2023-06-26,North,351,0,274,49.30942686827215,52,6,June,26
2023-06-27,North,395,6,349,41.008216396417325,59,6,June,26
2023-06-28,North,304,8,269,45.093781927350165,45,6,June,26
2023-06-29,North,415,0,390,52.94735663176405,62,6,June,26
2023-06-30,North,307,0,255,47.796496656111614,46,6,June,26
2023-07-01,North,227,4,196,58.89060374386452,34,7,July,26
2023-07-02,North,201,0,175,49.46658919697186,30,7,July,26
2023-07-03,North,253,3,241,48.66628953849411,37,7,July,27
2023-07-04,North,207,0,174,46.36650559107541,31,7,July,27
2023-07-05,North,233,2,203,48.78583639204328,34,7,July,27
2023-07-06,North,209,0,187,47.561826642273104,31,7,July,27
2023-07-07,North,171,6,148,52.07076316366273,25,7,July,27
2023-07-08,North,126,1,99,53.51977532023666,18,7,July,27
2023-07-09,North,85,1,76,45.01236038976795,12,7,July,27
2023-07-10,North,120,0,120,42.492186880562755,18,7,July,28
2023-07-11,North,165,0,121,40.17336873887912,24,7,July,28
2023-07-12,North,127,0,109,52.10039619500228,19,7,July,28
2023-07-13,North,54,1,33,44.24965048561414,8,7,July,28
2023-07-14,North,107,0,111,39.208074507765055,16,7,July,28
2023-07-15,North,107,1,63,52.121464451226245,16,7,July,28
2023-07-16,North,44,8,28,62.84961297177934,6,7,July,28
2023-07-17,North,82,4,76,50.56030478295987,12,7,July,29
2023-07-18,North,70,0,87,54.9891571689615,10,7,July,29
2023-07-19,North,12,5,9,51.41189404548507,1,7,July,29
