Student_ID,Math_Score,English_Score,Science_Score,Social_Studies_Score,Attendance_Percentage,Study_Hours_Per_Week,Average_Score,Pass_Status,Grade
STU0001,97,100,55,78,94,33.1,82.5,Pass,A
STU0002,55,59,76,100,73,22.7,72.5,Pass,B
STU0003,100,100,71,76,84,38.8,86.75,Pass,A
STU0004,61,78,61,74,73,19.6,68.5,Pass,C
STU0005,67,42,65,47,66,39.4,55.25,Pass,D
STU0006,43,41,78,77,54,28.4,59.75,Pass,D
STU0007,63,100,73,81,69,27.2,79.25,Pass,B
STU0008,91,100,100,94,70,10.8,96.25,Pass,A
STU0009,47,68,50,54,89,35.9,54.75,Pass,D
STU0010,71,96,44,42,80,20.0,63.25,Pass,C
STU0011,78,73,90,56,95,10.7,74.25,Pass,B
STU0012,40,76,100,76,85,5.4,73.0,Pass,B
STU0013,100,44,62,59,60,24.6,66.25,Pass,C
STU0014,100,96,53,53,64,23.5,75.5,Pass,B
STU0015,62,84,46,65,68,30.2,64.25,Pass,C
STU0016,74,85,100,47,56,36.2,76.5,Pass,B
STU0017,96,69,52,78,77,7.8,73.75,Pass,B
STU0018,66,87,67,85,92,30.6,76.25,Pass,B
STU0019,85,97,43,49,54,11.6,68.5,Pass,C
STU0020,100,86,81,41,54,35.0,77.0,Pass,B
STU0021,85,62,84,78,79,33.7,77.25,Pass,B
STU0022,100,76,53,100,81,23.9,82.25,Pass,A
STU0023,55,58,96,76,57,29.9,71.25,Pass,B
STU0024,100,57,84,77,59,16.0,79.5,Pass,B
STU0025,100,97,68,100,87,21.5,91.25,Pass,A
STU0026,92,61,78,100,96,33.8,82.75,Pass,A
STU0027,100,87,100,53,81,21.1,85.0,Pass,A
STU0028,93,90,59,41,97,17.5,70.75,Pass,B
STU0029,96,54,52,100,77,22.3,75.5,Pass,B
STU0030,100,55,85,57,66,34.0,74.25,Pass,B
STU0031,43,70,100,66,80,16.7,69.75,Pass,C
STU0032,87,37,63,100,57,11.1,71.75,Pass,B
STU0033,50,96,69,76,89,29.9,72.75,Pass,B
STU0034,64,44,50,46,74,33.9,51.0,Pass,D
STU0035,75,52,64,100,58,8.5,72.75,Pass,B
STU0036,54,93,96,75,51,13.4,79.5,Pass,B
STU0037,41,48,68,91,64,10.0,62.0,Pass,C
STU0038,100,57,82,76,99,17.2,78.75,Pass,B
STU0039,52,61,100,81,52,20.8,73.5,Pass,B
STU0040,54,71,66,65,98,31.2,64.0,Pass,C
STU0041,96,49,88,87,85,27.8,80.0,Pass,A
STU0042,41,74,83,69,53,26.7,66.75,Pass,C
STU0043,98,45,78,48,63,17.3,67.25,Pass,C
STU0044,88,100,82,52,90,34.5,80.5,Pass,A
STU0045,50,100,62,100,90,21.5,78.0,Pass,B
STU0046,91,92,84,55,74,39.3,80.5,Pass,A
STU0047,79,70,72,51,99,27.2,68.0,Pass,C
STU0048,72,77,65,36,59,9.4,62.5,Pass,C
STU0049,91,100,100,44,70,28.7,83.75,Pass,A
STU0050,44,66,74,58,85,16.4,60.5,Pass,C
STU0051,42,100,49,47,61,29.0,59.5,Pass,D
STU0052,44,54,79,79,76,7.4,64.0,Pass,C
STU0053,94,72,54,39,89,11.1,64.75,Pass,C
STU0054,45,68,96,96,51,35.0,76.25,Pass,B
STU0055,91,50,49,100,62,13.0,72.5,Pass,B
STU0056,100,88,92,69,81,34.3,87.25,Pass,A
STU0057,57,74,59,75,80,14.8,66.25,Pass,C
STU0058,85,45,69,86,65,27.5,71.25,Pass,B
STU0059,76,100,100,77,81,29.3,88.25,Pass,A
STU0060,100,87,90,88,81,22.9,91.25,Pass,A
STU0061,54,64,100,82,83,15.7,75.0,Pass,B
STU0062,85,100,41,92,60,12.4,79.5,Pass,B
STU0063,51,45,91,62,59,6.2,62.25,Pass,C
STU0064,100,93,100,42,64,15.6,83.75,Pass,A
STU0065,81,69,94,100,66,27.9,86.0,Pass,A
STU0066,98,48,100,62,89,37.8,77.0,Pass,B
STU0067,66,74,81,42,67,35.5,65.75,Pass,C
STU0068,67,100,69,76,58,31.8,78.0,Pass,B
STU0069,100,59,75,60,74,32.6,73.5,Pass,B
STU0070,84,91,67,67,89,28.3,77.25,Pass,B
STU0071,67,48,51,65,63,14.1,57.75,Pass,D
STU0072,58,67,87,42,74,36.8,63.5,Pass,C
STU0073,89,100,59,77,99,28.5,81.25,Pass,A
STU0074,100,98,79,100,71,24.6,94.25,Pass,A
STU0075,47,65,99,95,79,8.9,76.5,Pass,B
STU0076,41,87,81,100,69,20.6,77.25,Pass,B
STU0077,48,72,96,71,70,21.1,71.75,Pass,B
STU0078,100,44,100,93,93,35.3,84.25,Pass,A
STU0079,52,61,68,51,81,24.1,58.0,Pass,D
STU0080,50,96,66,59,95,18.3,67.75,Pass,C
STU0081,81,50,100,96,98,39.2,81.75,Pass,A
STU0082,72,100,95,79,70,8.9,86.5,Pass,A
STU0083,74,45,77,89,84,19.8,71.25,Pass,B
STU0084,43,41,76,65,81,6.5,56.25,Pass,D
STU0085,84,94,66,97,79,30.9,85.25,Pass,A
STU0086,73,66,100,81,88,37.1,80.0,Pass,A
STU0087,48,94,70,95,98,14.8,76.75,Pass,B
STU0088,54,77,100,83,61,35.0,78.5,Pass,B
STU0089,75,57,83,88,90,15.2,75.75,Pass,B
STU0090,78,45,66,66,96,36.9,63.75,Pass,C
STU0091,89,91,45,84,67,31.4,77.25,Pass,B
STU0092,65,85,100,78,70,33.2,82.0,Pass,A
STU0093,98,40,80,57,62,5.6,68.75,Pass,C
STU0094,80,100,89,86,70,38.7,88.75,Pass,A
STU0095,84,100,68,91,57,30.4,85.75,Pass,A
STU0096,76,72,83,89,95,15.7,80.0,Pass,A
STU0097,100,77,83,50,89,34.0,77.5,Pass,B
STU0098,88,79,47,40,95,14.9,63.5,Pass,C
STU0099,44,65,88,47,56,35.5,61.0,Pass,C
STU0100,38,71,90,65,72,8.9,66.0,Pass,C
STU0101,49,96,59,46,93,29.6,62.5,Pass,C
STU0102,55,43,63,86,81,23.9,61.75,Pass,C
STU0103,63,86,82,69,60,8.4,75.0,Pass,B
STU0104,47,50,99,100,71,13.5,74.0,Pass,B
STU0105,52,100,87,90,71,5.4,82.25,Pass,A
STU0106,84,95,100,83,92,21.4,90.5,Pass,A
STU0107,90,43,58,67,74,15.5,64.5,Pass,C
STU0108,100,96,100,56,71,25.9,88.0,Pass,A
STU0109,91,56,97,63,77,15.4,76.75,Pass,B
STU0110,43,86,89,46,78,15.5,66.0,Pass,C
STU0111,64,62,56,86,62,31.0,67.0,Pass,C
STU0112,52,50,100,81,67,6.7,70.75,Pass,B
STU0113,84,100,52,100,51,36.6,84.0,Pass,A
STU0114,72,93,68,74,78,34.8,76.75,Pass,B
STU0115,77,78,100,40,70,28.4,73.75,Pass,B
STU0116,53,100,68,57,64,25.8,69.5,Pass,C
STU0117,75,80,59,72,76,36.2,71.5,Pass,B
STU0118,100,90,58,52,99,11.5,75.0,Pass,B
STU0119,66,68,99,89,80,7.8,80.5,Pass,A
STU0120,100,88,66,84,64,13.4,84.5,Pass,A
STU0121,84,100,71,100,72,32.8,88.75,Pass,A
STU0122,82,89,86,97,73,6.2,88.5,Pass,A
STU0123,100,80,78,100,93,25.4,89.5,Pass,A
STU0124,100,71,56,100,62,39.8,81.75,Pass,A
STU0125,49,92,62,100,71,34.9,75.75,Pass,B
STU0126,70,46,62,100,92,23.3,69.5,Pass,C
STU0127,67,67,64,70,86,7.2,67.0,Pass,C
STU0128,88,46,73,82,82,34.1,72.25,Pass,B
STU0129,69,48,48,85,52,26.0,62.5,Pass,C
STU0130,99,93,53,49,68,9.0,73.5,Pass,B
STU0131,99,54,46,67,72,8.3,66.5,Pass,C
STU0132,45,59,56,100,78,36.8,65.0,Pass,C
STU0133,69,100,93,44,79,28.4,76.5,Pass,B
STU0134,100,76,100,61,88,34.0,84.25,Pass,A
STU0135,48,49,88,100,93,35.8,71.25,Pass,B
STU0136,100,95,64,54,96,25.0,78.25,Pass,B
STU0137,68,100,100,62,74,23.1,82.5,Pass,A
STU0138,50,83,61,40,86,20.1,58.5,Pass,D
STU0139,100,64,58,93,96,16.1,78.75,Pass,B
STU0140,75,92,71,52,57,20.2,72.5,Pass,B
STU0141,95,58,71,100,91,32.1,81.0,Pass,A
STU0142,84,47,100,53,65,26.1,71.0,Pass,B
STU0143,65,44,89,61,57,36.2,64.75,Pass,C
STU0144,97,41,43,55,50,20.5,59.0,Pass,D
STU0145,75,98,83,100,93,26.2,89.0,Pass,A
STU0146,91,63,85,71,54,27.1,77.5,Pass,B
STU0147,100,100,81,86,52,25.7,91.75,Pass,A
STU0148,97,100,97,73,50,29.6,91.75,Pass,A
STU0149,88,63,77,79,53,13.3,76.75,Pass,B
STU0150,54,73,60,51,89,22.9,59.5,Pass,D
STU0151,78,88,45,100,84,8.6,77.75,Pass,B
STU0152,42,100,68,84,81,18.5,73.5,Pass,B
STU0153,45,92,58,49,91,22.1,61.0,Pass,C
STU0154,98,60,78,43,83,27.8,69.75,Pass,C
STU0155,100,64,65,69,92,38.3,74.5,Pass,B
STU0156,43,45,86,87,74,26.0,65.25,Pass,C
STU0157,43,81,100,100,59,31.0,81.0,Pass,A
STU0158,94,100,98,100,70,22.7,98.0,Pass,A
STU0159,44,64,89,69,95,27.2,66.5,Pass,C
STU0160,58,59,75,63,88,7.5,63.75,Pass,C
STU0161,41,100,71,62,76,13.9,68.5,Pass,C
STU0162,93,40,55,50,76,17.7,59.5,Pass,D
STU0163,82,42,53,41,51,21.5,54.5,Pass,D
STU0164,71,50,59,85,90,6.6,66.25,Pass,C
STU0165,100,86,75,75,97,9.9,84.0,Pass,A
STU0166,70,71,79,80,62,14.7,75.0,Pass,B
STU0167,100,89,91,55,58,39.0,83.75,Pass,A
STU0168,95,84,72,81,85,16.6,83.0,Pass,A
STU0169,96,66,100,86,71,21.9,87.0,Pass,A
STU0170,57,65,100,100,91,11.9,80.5,Pass,A
STU0171,79,87,100,85,75,26.4,87.75,Pass,A
STU0172,62,93,56,79,61,14.8,72.5,Pass,B
STU0173,100,100,95,57,66,12.2,88.0,Pass,A
STU0174,100,86,52,61,63,23.1,74.75,Pass,B
STU0175,47,97,67,81,63,5.2,73.0,Pass,B
STU0176,54,64,65,51,83,5.3,58.5,Pass,D
STU0177,97,73,45,61,69,12.7,69.0,Pass,C
STU0178,100,36,100,70,60,6.3,76.5,Pass,B
STU0179,40,44,88,86,65,8.8,64.5,Pass,C
STU0180,60,91,45,53,80,16.9,62.25,Pass,C
STU0181,100,86,88,100,55,33.1,93.5,Pass,A
STU0182,76,95,57,59,68,25.0,71.75,Pass,B
STU0183,61,55,75,53,86,22.9,61.0,Pass,C
STU0184,100,64,100,54,53,15.3,79.5,Pass,B
STU0185,65,46,67,77,96,37.6,63.75,Pass,C
STU0186,58,63,100,100,53,18.9,80.25,Pass,A
STU0187,89,51,76,87,69,8.0,75.75,Pass,B
STU0188,73,97,67,65,59,26.6,75.5,Pass,B
STU0189,78,93,88,65,73,9.0,81.0,Pass,A
STU0190,79,46,100,66,84,17.1,72.75,Pass,B
STU0191,42,42,96,74,75,22.8,63.5,Pass,C
STU0192,55,65,63,50,86,35.6,58.25,Pass,D
STU0193,99,59,94,55,87,22.3,76.75,Pass,B
STU0194,91,78,100,75,70,29.6,86.0,Pass,A
STU0195,68,58,61,73,89,39.7,65.0,Pass,C
STU0196,70,100,100,55,88,9.6,81.25,Pass,A
STU0197,80,66,78,39,70,14.6,65.75,Pass,C
STU0198,45,76,100,86,59,18.8,76.75,Pass,B
STU0199,57,97,87,43,87,19.8,71.0,Pass,B
STU0200,100,58,100,47,95,19.4,76.25,Pass,B
STU0201,43,83,83,78,53,36.8,71.75,Pass,B
STU0202,45,67,100,54,94,30.0,66.5,Pass,C
STU0203,89,56,100,70,69,26.3,78.75,Pass,B
STU0204,50,50,86,100,66,15.8,71.5,Pass,B
STU0205,100,64,55,95,56,33.8,78.5,Pass,B
STU0206,78,100,100,82,53,38.4,90.0,Pass,A
STU0207,75,51,71,100,78,33.7,74.25,Pass,B
STU0208,45,100,89,76,63,5.1,77.5,Pass,B
STU0209,58,56,46,94,52,27.3,63.5,Pass,C
STU0210,85,71,98,72,73,6.8,81.5,Pass,A
STU0211,43,47,62,100,86,14.0,63.0,Pass,C
STU0212,56,76,100,42,65,7.1,68.5,Pass,C
STU0213,63,80,95,91,53,26.1,82.25,Pass,A
STU0214,96,81,100,41,73,29.0,79.5,Pass,B
STU0215,72,44,82,81,83,9.0,69.75,Pass,C
STU0216,64,91,46,83,79,18.4,71.0,Pass,B
STU0217,75,64,48,85,67,21.0,68.0,Pass,C
STU0218,77,100,46,50,68,17.9,68.25,Pass,C
STU0219,63,97,45,59,80,9.2,66.0,Pass,C
STU0220,57,94,96,58,68,19.7,76.25,Pass,B
STU0221,100,100,95,51,98,31.3,86.5,Pass,A
STU0222,94,100,91,63,95,7.5,87.0,Pass,A
STU0223,72,69,48,44,68,7.8,58.25,Pass,D
STU0224,100,91,61,52,71,17.4,76.0,Pass,B
STU0225,84,64,100,51,73,38.0,74.75,Pass,B
STU0226,77,63,82,83,94,28.4,76.25,Pass,B
STU0227,100,100,93,63,61,28.8,89.0,Pass,A
STU0228,73,100,100,87,79,17.7,90.0,Pass,A
STU0229,56,45,62,66,87,25.8,57.25,Pass,D
STU0230,59,99,42,73,80,5.4,68.25,Pass,C
STU0231,90,100,78,100,85,27.3,92.0,Pass,A
STU0232,63,65,59,91,68,37.0,69.5,Pass,C
