Date,Temperature_Celsius,Humidity_Percentage,Rainfall_mm,Wind_Speed_kmh,Pressure_hPa,Month,Month_Name,Season,Day_of_Week,Week_Number,Weather_Condition
2023-01-01,26.5,77,2.55,23.5,1009.0,1,January,Winter,Sunday,52,Pleasant
2023-01-02,24.8,92,0.44999999999999996,12.0,1010.4,1,January,Winter,Monday,1,Pleasant
2023-01-03,27.5,45,0.27,5.7,1011.0,1,January,Winter,Tuesday,1,Pleasant
2023-01-04,30.3,83,1.65,31.1,1012.3,1,January,Winter,Wednesday,1,Hot
2023-01-05,25.3,84,3.99,5.6,1012.6,1,January,Winter,Thursday,1,Pleasant
2023-01-06,25.6,71,1.2299999999999998,31.2,1020.3,1,January,Winter,Friday,1,Pleasant
2023-01-07,31.3,84,1.26,20.9,1013.5,1,January,Winter,Saturday,1,Hot
2023-01-08,29.1,86,0.48,33.2,1020.3,1,January,Winter,Sunday,1,Pleasant
2023-01-09,25.7,60,2.19,29.0,1012.2,1,January,Winter,Monday,2,Pleasant
2023-01-10,28.9,55,0.3,34.9,1013.8,1,January,Winter,Tuesday,2,Pleasant
2023-01-11,26.2,93,0.6,15.5,993.0,1,January,Winter,Wednesday,2,Pleasant
2023-01-12,26.4,60,0.84,28.0,1022.2,1,January,Winter,Thursday,2,Pleasant
2023-01-13,28.8,50,1.05,17.1,1016.5,1,January,Winter,Friday,2,Pleasant
2023-01-14,22.6,76,0.42,19.4,1023.0,1,January,Winter,Saturday,2,Pleasant
2023-01-15,23.4,75,0.18,23.8,984.0,1,January,Winter,Sunday,2,Pleasant
2023-01-16,27.1,74,1.41,31.2,1033.9,1,January,Winter,Monday,3,Pleasant
2023-01-17,26.0,58,0.51,34.5,1011.6,1,January,Winter,Tuesday,3,Pleasant
2023-01-18,30.3,59,1.32,28.0,1024.1,1,January,Winter,Wednesday,3,Hot
2023-01-19,26.8,57,0.24,17.5,1002.6,1,January,Winter,Thursday,3,Pleasant
2023-01-20,25.6,86,0.9899999999999999,17.6,1019.1,1,January,Winter,Friday,3,Pleasant
